Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC
Random Forest,0.984,0.825,0.7857142857142857,0.8048780487804879,0.9927676707426185
XGBoost,0.978,0.7083333333333334,0.8095238095238095,0.7555555555555555,0.9929167909334924
