MMSI,route_start_time,route_end_time,initial_distance_km,historical_route_distance_km,historical_duration_hours,ppo_distance_km,ppo_steps,ppo_reward,destination_distance_km,destination_reached,total_turning_degrees,distance_difference_km,distance_change_percent,ppo_efficiency
201622454,2024-07-11 22:00:50,2024-07-12 03:10:20,149.029629227932,163.75983894599793,5.158333333333333,154.0,154,806.0947496495655,1.428635849672913,True,1540.0,-9.759838945997927,-5.959848891410042,0.9677248651164415
708743043,2024-07-24 19:42:17,2024-07-24 22:17:36,55.67828899072829,64.23612413880883,2.588611111111111,56.0,56,355.69788101716847,1.9685560671384679,True,560.0,-8.236124138808833,-12.821639302226991,0.9942551605487194
395657503,2024-08-26 09:55:22,2024-08-26 11:53:10,60.99651875000852,112.53047937919476,1.9633333333333327,61.0,61,381.9784485684686,1.9662288395944998,True,610.0,-51.53047937919476,-45.79246410703729,0.9999429303280085
345727782,2024-07-15 16:08:25,2024-07-15 18:13:05,31.452431087765053,60.717431300639234,2.077777777777778,31.0,31,249.60074779850436,1.1936867244903764,True,0.0,-29.717431300639234,-48.94382167370504,1.0145945512182275
419321940,2024-07-25 11:38:55,2024-07-25 13:26:46,42.854128049711896,58.60727128132436,1.7975,76.0,76,278.24521427368285,1.9495330224334804,True,760.0,17.39272871867564,29.676742046541865,0.5638701059172618
534176328,2024-07-10 14:41:10,2024-07-10 17:03:54,36.47655022588025,45.11901085375665,2.378888888888889,43.0,43,265.1539400271575,1.3965281584792713,True,430.0,-2.1190108537566488,-4.69649226270708,0.8482918657181454
440238215,2024-07-10 15:54:44,2024-07-10 17:26:16,21.744559939390548,23.26873400119438,1.5255555555555556,28.0,28,193.54406205366638,1.9660064185246526,True,280.0,4.731265998805618,20.333147469745295,0.7765914264068053
584196090,2024-07-02 02:15:19,2024-07-02 05:16:09,33.76185045225025,35.578850422268715,3.013888888888889,38.0,38,253.68496011092685,1.8379827311245012,True,340.0,2.421149577731285,6.805024752052959,0.8884697487434277
408286708,2024-07-17 20:16:34,2024-07-18 00:28:35,34.52639360829688,42.8561009904448,4.200277777777778,57.0,57,255.35760312115218,1.4991171355204262,True,570.0,14.143899009555199,33.00323333825614,0.6057262036543312
708743043,2024-07-14 18:43:10,2024-07-14 21:51:46,50.16988657816774,89.11468095557309,3.143333333333333,56.0,56,330.87981836749185,1.4617016574365946,True,560.0,-33.11468095557309,-37.15962465497909,0.8958908317529953
419321940,2024-07-31 11:27:22,2024-07-31 13:20:00,39.86043237021426,48.96700099827975,1.877222222222222,74.0,74,265.34352339105124,1.6359428833901288,True,740.0,25.03299900172025,51.12218124732547,0.5386544914893819
675656627,2024-07-18 06:05:45,2024-07-18 08:17:04,24.08017104522108,36.22708502192384,2.188611111111112,44.0,44,200.42322594757007,1.6530853630100073,True,440.0,7.772914978076159,21.456087271090567,0.5472766146641154
419321940,2024-07-04 07:20:05,2024-07-04 08:53:19,34.55191036618824,61.31466961053528,1.5538888888888889,40.0,40,257.69734093117904,1.583982559884729,True,260.0,-21.314669610535283,-34.76275701381734,0.8637977591547059
791860098,2024-07-17 21:39:50,2024-07-17 22:37:40,19.652549310872427,38.43851953269248,0.9638888888888888,20.0,20,184.57187191900738,1.8713907860917238,True,200.0,-18.43851953269248,-47.96885977101764,0.9826274655436213
419321940,2024-07-15 07:18:18,2024-07-15 09:01:10,41.31500210373925,57.27700123566337,1.7144444444444444,47.0,47,290.99000718354824,1.5631789157632205,True,230.0,-10.27700123566337,-17.942631447095422,0.879042597951899
525791007,2024-07-15 13:55:25,2024-07-15 17:22:20,52.0657466817043,74.76834754128078,3.448611111111111,61.0,61,336.189610382181,1.939515338384931,True,610.0,-13.768347541280775,-18.414674115512657,0.8535368308476114
395657503,2024-08-19 08:12:36,2024-08-19 11:29:31,100.21962007822529,135.25734496066903,3.281944444444445,104.0,104,570.5233972377443,1.63864088007814,True,1040.0,-31.25734496066903,-23.109536099321065,0.9636501930598586
525791007,2024-07-10 13:53:14,2024-07-10 17:25:31,56.79842423094521,77.68654520248015,3.538055555555556,67.0,67,358.5330070839442,1.9034573743863077,True,670.0,-10.686545202480147,-13.755979461600488,0.8477376750887344
375886596,2024-08-02 18:11:42,2024-08-02 19:27:48,12.814292757844582,25.64058921664625,1.268333333333333,23.0,23,150.1954838100582,1.5144787364429733,True,230.0,-2.6405892166462515,-10.298473230607126,0.5571431633845471
201622454,2024-07-11 22:00:50,2024-07-12 03:10:20,149.029629227932,163.75983894599793,5.158333333333333,154.0,154,806.0947496495655,1.428635849672913,True,1540.0,-9.759838945997927,-5.959848891410042,0.9677248651164415
723806186,2024-08-19 13:35:11,2024-08-19 17:22:29,32.29982527659666,42.21575044726061,3.7883333333333336,31.0,31,249.50074925187073,1.9982453768218835,True,10.0,-11.21575044726061,-26.567691746406947,1.0419298476321501
345727782,2024-09-07 17:22:14,2024-09-07 19:09:44,18.294940167311594,32.22500296512042,1.7916666666666667,28.0,28,180.8107752862117,1.8052463648962072,True,0.0,-4.225002965120417,-13.11094670710647,0.6533907202611283
419321940,2024-08-01 11:28:22,2024-08-01 13:16:14,40.11254917017854,48.66485038967343,1.7977777777777777,74.0,74,264.95338153845995,1.9785551620281603,True,740.0,25.335149610326567,52.06046953285739,0.542061475272683
708743043,2024-07-22 18:06:26,2024-07-22 22:09:22,89.77975586506288,119.9299921399229,4.0488888888888885,94.0,94,520.895654027857,1.422628028790549,True,940.0,-25.929992139922902,-21.62094041469648,0.9551037857985413
241749307,2024-07-11 19:39:14,2024-07-11 22:10:55,94.68341908809847,95.02986850974484,2.5280555555555555,95.0,95,560.179811852341,1.4480806179756693,True,20.0,-0.02986850974484412,-0.03143065460706309,0.996667569348405
241749307,2024-08-04 19:19:36,2024-08-04 20:16:13,35.28094920653034,35.43029749892928,0.9436111111111112,34.0,34,267.8571555282256,1.2994492461070868,True,10.0,-1.4302974989292778,-4.036933359005812,1.037674976662657
345727782,2024-09-02 15:12:14,2024-09-03 16:09:42,32.5386889655005,65.04483662703531,24.95777777777778,35.0,35,248.72793038680283,1.9284987431652147,True,220.0,-30.04483662703531,-46.19096331859713,0.9296768275857286
419321940,2024-07-31 11:27:22,2024-07-31 13:20:00,39.86043237021426,48.96700099827975,1.877222222222222,74.0,74,265.34352339105124,1.6359428833901288,True,740.0,25.03299900172025,51.12218124732547,0.5386544914893819
628693508,2024-07-01 05:25:08,2024-07-01 07:20:36,12.872214314264546,24.976114791468525,1.9244444444444444,19.0,19,154.0890588875685,1.613944271661766,True,20.0,-5.976114791468525,-23.927319526533722,0.6774849639086603
534176328,2024-07-01 09:00:38,2024-07-01 10:59:54,36.74829690919065,41.12043113921643,1.9877777777777776,48.0,48,265.84994142523624,1.71435492670482,True,480.0,6.879568860783571,16.73029360390764,0.7655895189414719
534176328,2024-07-04 12:32:56,2024-07-04 14:45:02,31.99807148980442,53.65645765577848,2.2016666666666667,38.0,38,242.72719345461354,1.5282538947659399,True,380.0,-15.656457655778482,-29.179074317986352,0.84205451288959
345727782,2024-07-15 16:08:25,2024-07-15 18:13:05,31.452431087765053,60.717431300639234,2.077777777777778,31.0,31,249.60074779850436,1.1936867244903764,True,0.0,-29.717431300639234,-48.94382167370504,1.0145945512182275
246228378,2024-07-03 05:39:10,2024-07-03 07:59:06,40.10171894547899,55.18545082957238,2.332222222222222,41.0,41,282.8413694042607,1.804347391424003,True,410.0,-14.185450829572382,-25.705055619425664,0.9780907059872925
758938562,2024-09-19 04:34:03,2024-09-19 06:22:16,44.85404212737104,49.49042868542343,1.803611111111111,58.0,58,307.4241299506259,1.0515151115283141,True,580.0,8.509571314576569,17.194377863780595,0.7733455539201903
234463823,2024-09-17 06:12:18,2024-09-19 17:38:49,18.75377237992737,22.92432039149886,59.441944444444445,21.0,21,184.488226555149,1.061958047911288,True,210.0,-1.9243203914988598,-8.394230924343846,0.8930367799965414
395657503,2024-07-12 04:56:38,2024-07-12 07:22:08,72.74845120933097,75.3035620637956,2.425,73.0,73,448.89472818442715,1.9914050349511856,True,40.0,-2.303562063795596,-3.0590346600657035,0.9965541261552188
708743043,2024-07-24 19:42:17,2024-07-24 22:17:36,55.67828899072829,64.23612413880883,2.588611111111111,56.0,56,355.69788101716847,1.9685560671384679,True,560.0,-8.236124138808833,-12.821639302226991,0.9942551605487194
241749307,2024-07-16 03:32:07,2024-07-16 06:21:44,104.48860825368371,164.6621939237821,2.8269444444444445,110.0,110,592.2476938796649,1.3287305900165112,True,1100.0,-54.6621939237821,-33.19656602479366,0.9498964386698519
791860098,2024-08-04 19:19:07,2024-08-05 19:23:42,76.00588324450756,148.61560856672875,24.07638888888889,94.0,94,468.0646808269557,1.276446048755492,True,40.0,-54.61560856672875,-36.749577714918296,0.8085732260053996
439729450,2024-07-01 00:00:04,2024-07-01 01:51:07,47.07137320586326,50.96294046040521,1.850833333333333,48.0,48,314.83112529767163,1.9470479426906335,True,480.0,-2.962940460405207,-5.8139119007609334,0.9806536084554845
395657503,2024-08-22 10:51:33,2024-08-22 13:05:21,71.48969851285455,87.82119118215452,2.23,73.0,73,434.66836226131267,1.394107305476606,True,730.0,-14.821191182154521,-16.876554488327443,0.979310938532254
440238215,2024-07-13 15:31:55,2024-07-13 16:15:46,11.908134603559041,11.412002239708606,0.7308333333333333,13.0,13,146.9390343831232,1.861859827788941,True,110.0,1.587997760291394,13.915154649776357,0.9160103541199263
454406528,2024-08-15 21:00:44,2024-08-15 22:44:05,41.80222615132041,48.56799955061364,1.7225,42.0,42,295.1696489267634,1.0595065476777679,True,420.0,-6.567999550613642,-13.523306727445103,0.9952910988409622
723806186,2024-08-19 18:43:29,2024-08-19 23:44:23,85.0960598815937,89.35244774753599,5.015,113.0,113,498.0280424171621,1.4107833134390926,True,250.0,23.64755225246401,26.4654778336681,0.7530624768282629
675656627,2024-07-05 09:42:39,2024-07-05 13:31:58,31.099470772799197,39.126321765736805,3.8219444444444446,46.0,46,240.17136145032197,1.5156812761963476,True,460.0,6.8736782342631955,17.567913169600637,0.6760754515825912
375886596,2024-08-02 07:41:19,2024-08-02 08:51:59,16.702011669453398,23.99315920542871,1.1777777777777778,33.0,33,166.89811562697335,1.3354279779791023,True,330.0,9.00684079457129,37.539203226448784,0.5061215657410121
723806186,2024-07-01 13:12:23,2024-07-01 20:58:07,52.229327702337635,57.38469509062608,7.762222222222222,51.0,51,350.48837469360456,1.3322557652980787,True,30.0,-6.3846950906260815,-11.126128805847808,1.0241044647517183
680520589,2024-07-04 06:08:48,2024-07-04 09:13:03,43.15059532417097,59.89267405844872,3.0708333333333333,78.0,78,281.85802605328917,1.7403175213971516,True,780.0,18.10732594155128,30.232956244165198,0.5532127605662945
680520589,2024-07-05 06:49:08,2024-07-05 09:00:18,47.457567804688466,52.94490102063664,2.186111111111111,48.0,48,316.71001663563754,1.856947560286266,True,480.0,-4.944901020636642,-9.339711521434783,0.988699329264343
366763109,2024-09-03 01:29:55,2024-09-03 02:46:46,29.38998966998386,48.35446187652581,1.2808333333333333,28.0,28,235.9290870352981,1.8744117032397194,True,0.0,-20.35446187652581,-42.09427855593012,1.0496424882137092
708743043,2024-07-04 07:30:13,2024-07-04 10:26:33,44.77510613647564,67.26463377026099,2.938888888888889,52.0,52,305.69673207945107,1.9021683426054112,True,490.0,-15.264633770260986,-22.693402037089182,0.8610597333937624
371681494,2024-07-09 19:56:00,2024-07-10 02:15:39,29.58745224503923,71.5062925075295,6.3275,44.0,44,233.03997817751417,1.5082673399353277,True,440.0,-27.506292507529494,-38.46695380638442,0.6724420964781643
628693508,2024-08-06 07:17:22,2024-08-06 08:22:29,14.179369690835493,28.626281331053463,1.0852777777777778,21.0,21,159.68887725980238,1.8003117717317656,True,10.0,-7.6262813310534625,-26.640838336136103,0.6752080805159759
261098615,2024-07-01 10:33:38,2024-07-01 12:24:47,30.45643712365526,28.635113312806656,1.8525,67.0,67,219.1814620221004,1.8907034287754636,True,670.0,38.36488668719335,133.97846995784434,0.4545736884127651
534176328,2024-07-02 08:57:21,2024-07-02 11:42:43,33.76129304442217,73.991431990139,2.756111111111111,49.0,49,249.26296941359269,1.9295264500326732,True,490.0,-24.991431990139006,-33.77611612310689,0.6890059804984116
440238215,2024-07-14 15:33:31,2024-07-14 16:56:59,22.120188306071018,26.537638956232705,1.3911111111111112,29.0,29,196.64456571040486,1.6632774246064905,True,290.0,2.462361043767295,9.278749506798071,0.762765114002449
791860098,2024-07-02 20:54:00,2024-07-02 23:30:30,10.727663805063402,22.919943544634364,2.6083333333333334,33.0,33,138.2374844599877,1.8945400608886598,True,330.0,10.080056455365636,43.979412234308974,0.32508072136555766
261098615,2024-07-06 06:05:19,2024-07-06 08:01:29,29.549494870114053,45.25338129383938,1.9361111111111111,45.0,45,230.0910494601849,1.579087468494524,True,450.0,-0.25338129383938224,-0.559916820787658,0.6566554415580901
534176328,2024-07-04 09:02:30,2024-07-04 11:26:00,36.72976930815193,52.55515351974077,2.3916666666666666,53.0,53,263.58635326687875,1.8505023536801906,True,530.0,0.4448464802592298,0.8464374099718622,0.6930145152481496
680520589,2024-07-01 05:30:54,2024-07-01 08:17:38,27.702525256987023,46.234133303284125,2.778888888888889,61.0,61,209.60449635247613,1.5509063215461496,True,610.0,14.765866696715875,31.93715474205076,0.4541397583112627
758938562,2024-09-10 06:26:11,2024-09-10 08:32:47,49.14178275749686,49.46601964195512,2.11,59.0,59,334.3125423549321,1.5714268590112688,True,0.0,9.533980358044879,19.273797299749855,0.8329115721609638
371681494,2024-07-17 11:40:49,2024-07-17 14:05:29,16.211603353438075,28.77244874652784,2.411111111111111,44.0,44,158.266806881957,1.3514423058377052,True,440.0,15.22755125347216,52.9240711752411,0.3684455307599563
340402302,2024-08-26 23:18:42,2024-08-27 01:08:30,29.83965613747678,32.13054132372207,1.83,62.0,62,227.70139851111867,1.8274740292880405,True,620.0,29.86945867627793,92.96282429647465,0.4812847764109158
201622454,2024-07-05 20:53:05,2024-07-06 01:52:12,137.3969537936033,157.07164168889574,4.985277777777778,140.0,140,767.4744887254909,1.3602428280203287,True,50.0,-17.07164168889574,-10.868697560765755,0.9814068128114521
449094058,2024-07-03 20:50:44,2024-07-04 08:42:08,29.14986578367694,50.04972178401534,11.856666666666667,35.0,35,227.2613092218363,1.7376238652669729,True,350.0,-15.04972178401534,-30.06954134322851,0.8328533081050554
395657503,2024-07-22 07:24:42,2024-07-22 11:29:42,120.37936875705026,182.1069618365436,4.083333333333333,128.0,128,667.870490839194,1.3432040871844186,True,1280.0,-54.106961836543604,-29.711638309088467,0.9404638184144551
385831098,2024-07-29 10:06:07,2024-07-29 19:10:22,129.1311328414196,209.0781782895803,9.070833333333333,161.0,161,708.3798112062545,1.9958338732835543,True,1610.0,-48.07817828958031,-22.995311458563798,0.8020567257231032
345727782,2024-07-01 15:48:03,2024-07-02 01:09:24,28.71228336414427,59.98934552885858,9.355833333333331,60.0,60,223.89987253122314,1.8567231064141396,True,600.0,0.010654471141421595,0.01776060573339,0.4785380560690712
241749307,2024-08-15 01:53:16,2024-08-15 03:12:36,47.96374218867078,89.43649556543167,1.3222222222222222,48.0,48,319.6972572072949,1.9548207793227441,True,480.0,-41.43649556543167,-46.330634159426296,0.9992446289306413
708743043,2024-07-01 19:10:00,2024-07-01 21:48:04,53.62157110496503,92.13306126066674,2.6344444444444446,54.0,54,346.4801259344867,1.8224699327972251,True,540.0,-38.133061260666736,-41.38911780297745,0.9929920574993524
525791007,2024-07-12 07:42:35,2024-07-12 10:22:01,45.648349022936806,59.0723253494344,2.6572222222222224,53.0,53,308.10020109609013,1.975564502999947,True,420.0,-6.072325349434401,-10.279475733373244,0.8612896042063548
758938562,2024-07-02 06:38:05,2024-07-02 09:10:41,58.395556674187624,58.40060160474314,2.543333333333333,71.0,71,379.20665707558874,1.6009135192127408,True,0.0,12.599398395256863,21.574090076211775,0.8224726292139102
