MMSI,route_start_time,route_end_time_ppo,initial_distance_km,historical_route_distance_km_ppo,historical_duration_hours_ppo,ppo_distance_km,ppo_steps,ppo_reward,final_distance_km,destination_reached,total_turning_degrees,distance_difference_km,distance_change_percent,absolute_distance_savings_km,route_end_time_baseline,historical_route_distance_km_baseline,historical_duration_hours_baseline,baseline_distance_km,baseline_steps,baseline_final_distance_km,baseline_destination_reached,baseline_turning_degrees,baseline_difference_km,baseline_change_percent,ppo_minus_baseline_km,ppo_vs_baseline_percent
243681675,2024-07-06 07:23:38,2024-07-06 09:16:38,26.5869262105298,29.21168699808779,1.8833333333333333,29.0,29,271.91916881611644,1.4500795307593746,True,11.669831474337968,-0.2116869980877886,-0.7246654330564537,0.2116869980877886,2024-07-06 09:16:38,29.21168699808779,1.8833333333333333,29.0,29,1.4500795307593746,True,0.0,-0.2116869980877886,-0.7246654330564537,0.0,0.0
340402302,2024-07-08 22:56:12,2024-07-09 01:28:35,28.80584537389853,58.780548371567306,2.539722222222222,73.0,73,241.9898851336918,1.9022285048075251,True,19.88646625173712,14.219451628432694,24.19074340468517,-14.219451628432694,2024-07-09 01:28:35,58.780548371567306,2.539722222222222,73.0,73,1.895379138544372,True,0.0,14.219451628432694,24.19074340468517,0.0,0.0
340402302,2024-07-14 07:36:30,2024-07-14 20:39:06,51.43810968564296,89.95021205382177,13.043333333333331,64.0,64,437.06938217535617,1.3011478937599477,True,1.6822972539010834,-25.95021205382177,-28.84952849059927,25.95021205382177,2024-07-14 20:39:06,89.95021205382177,13.043333333333331,64.0,64,1.3011478937599477,True,0.0,-25.95021205382177,-28.84952849059927,0.0,0.0
340402302,2024-07-15 22:54:11,2024-07-16 01:40:47,28.44987405505988,41.62109767544612,2.776666666666667,74.0,74,239.09157709747265,1.8038859567021897,True,5.050824998348759,32.37890232455388,77.79444592509013,-32.37890232455388,2024-07-16 01:40:47,41.62109767544612,2.776666666666667,74.0,74,1.8038859567021897,True,0.0,32.37890232455388,77.79444592509013,0.0,0.0
340402302,2024-07-21 07:38:46,2024-07-21 20:05:53,50.18559041576975,83.92931359860471,12.451944444444443,62.0,62,424.4917490264175,1.873350297800132,True,0.3425097669229444,-21.929313598604708,-26.12831281271109,21.929313598604708,2024-07-21 20:05:53,83.92931359860471,12.451944444444443,62.0,62,1.873350297800132,True,0.0,-21.929313598604708,-26.12831281271109,0.0,0.0
340402302,2024-07-28 07:29:21,2024-07-28 20:08:07,50.24114636291907,100.40978378359662,12.64611111111111,62.0,62,428.9259128455898,1.374418439218321,True,0.4573333822425525,-38.40978378359662,-38.253029073718025,38.40978378359662,2024-07-28 20:08:07,100.40978378359662,12.64611111111111,62.0,62,1.374418439218321,True,0.0,-38.40978378359662,-38.253029073718025,0.0,0.0
340402302,2024-07-29 22:43:42,2024-07-30 01:36:48,28.98303310156161,41.96583866792909,2.885,74.0,74,242.01842099201636,1.979430578071431,True,0.6551203125920324,32.03416133207091,76.33390002176195,-32.03416133207091,2024-07-30 01:36:48,41.96583866792909,2.885,74.0,74,1.979430578071431,True,0.0,32.03416133207091,76.33390002176195,0.0,0.0
340402302,2024-08-04 07:50:49,2024-08-04 20:50:11,50.548998504322746,79.19142534129384,12.989444444444445,62.0,62,431.5254838500199,1.3547106198341046,True,1.8508115954507505,-17.191425341293836,-21.70869543918852,17.191425341293836,2024-08-04 20:50:11,79.19142534129384,12.989444444444445,62.0,62,1.3547106198341046,True,0.0,-17.191425341293836,-21.70869543918852,0.0,0.0
340402302,2024-08-05 23:09:27,2024-08-06 01:14:39,31.28766998872496,32.76829440749144,2.0866666666666664,65.0,65,268.61122133908805,1.38633929859519,True,605.5892086844178,32.23170559250856,98.3624756042835,-32.23170559250856,2024-08-06 01:14:39,32.76829440749144,2.0866666666666664,63.0,63,1.7155558427510158,True,0.0,30.23170559250856,92.2590148164594,2.0,3.1746031746031744
340402302,2024-08-18 08:14:23,2024-08-18 20:36:37,51.24439323909894,84.7918820329802,12.370555555555557,64.0,64,431.8764688819142,1.7584022884792707,True,0.6933037650589426,-20.7918820329802,-24.5210762333275,20.7918820329802,2024-08-18 20:36:37,84.7918820329802,12.370555555555557,64.0,64,1.7584022884792707,True,0.0,-20.7918820329802,-24.5210762333275,0.0,0.0
