MMSI,route_start_time,route_end_time,historical_route_distance_km,historical_duration_hours,baseline_distance_km,baseline_steps,baseline_final_distance_km,baseline_destination_reached,baseline_turning_degrees,baseline_difference_km,baseline_change_percent
243681675,2024-07-06 07:23:38,2024-07-06 09:16:38,29.21168699808779,1.8833333333333333,29.0,29,1.4500795307593746,True,0.0,-0.21168699808778868,-0.7246654330564537
340402302,2024-07-08 22:56:12,2024-07-09 01:28:35,58.780548371567306,2.539722222222222,73.0,73,1.895379138544372,True,0.0,14.219451628432694,24.19074340468517
340402302,2024-07-14 07:36:30,2024-07-14 20:39:06,89.95021205382177,13.043333333333331,64.0,64,1.3011478937599477,True,0.0,-25.950212053821772,-28.84952849059927
340402302,2024-07-15 22:54:11,2024-07-16 01:40:47,41.62109767544612,2.776666666666667,74.0,74,1.8038859567021899,True,0.0,32.37890232455388,77.79444592509013
340402302,2024-07-21 07:38:46,2024-07-21 20:05:53,83.92931359860471,12.451944444444443,62.0,62,1.8733502978001322,True,0.0,-21.929313598604708,-26.12831281271109
340402302,2024-07-28 07:29:21,2024-07-28 20:08:07,100.40978378359662,12.64611111111111,62.0,62,1.374418439218321,True,0.0,-38.40978378359662,-38.253029073718025
340402302,2024-07-29 22:43:42,2024-07-30 01:36:48,41.96583866792909,2.885,74.0,74,1.979430578071431,True,0.0,32.03416133207091,76.33390002176195
340402302,2024-08-04 07:50:49,2024-08-04 20:50:11,79.19142534129384,12.989444444444445,62.0,62,1.3547106198341046,True,0.0,-17.191425341293836,-21.708695439188517
340402302,2024-08-05 23:09:27,2024-08-06 01:14:39,32.76829440749144,2.0866666666666664,63.0,63,1.7155558427510158,True,0.0,30.23170559250856,92.2590148164594
340402302,2024-08-18 08:14:23,2024-08-18 20:36:37,84.7918820329802,12.370555555555557,64.0,64,1.7584022884792707,True,0.0,-20.791882032980197,-24.5210762333275
340402302,2024-08-25 09:05:16,2024-08-25 20:42:58,95.02045989407137,11.628333333333334,62.0,62,1.369503387485252,True,0.0,-33.020459894071365,-34.75089462930669
340402302,2024-08-26 23:18:42,2024-08-27 01:08:30,32.13054132372207,1.83,58.0,58,1.5225071489714541,True,0.0,25.86945867627793,80.51360982573435
340402302,2024-09-02 23:15:59,2024-09-03 01:40:47,65.47154118741514,2.4133333333333336,73.0,73,1.7438130835948138,True,0.0,7.528458812584859,11.498826323691262
340402302,2024-09-08 08:10:25,2024-09-08 20:36:24,76.49846486062316,12.433055555555557,65.0,65,1.655212501586555,True,0.0,-11.498464860623159,-15.030974649717294
340402302,2024-09-09 23:38:10,2024-09-10 01:28:34,33.30396219858851,1.84,59.0,59,1.7154975119171005,True,0.0,25.696037801411492,77.15609826899379
340402302,2024-09-15 07:59:23,2024-09-15 20:39:53,72.58928576389273,12.675,58.0,58,1.5992331157790927,True,0.0,-14.589285763892732,-20.098401038614043
340402302,2024-09-16 23:21:12,2024-09-17 01:13:30,29.88708721025226,1.8716666666666664,56.0,56,1.6440195392438564,True,0.0,26.11291278974774,87.37188942517672
340402302,2024-09-22 07:54:40,2024-09-22 20:49:42,76.95827733806388,12.917222222222222,64.0,64,1.5354574681460693,True,0.0,-12.95827733806388,-16.838055354514363
340402302,2024-09-23 23:09:01,2024-09-24 01:01:36,31.930864283130614,1.8763888888888889,58.0,58,1.7682121294204731,True,0.0,26.069135716869386,81.64243687773264
340402302,2024-09-29 07:58:56,2024-09-29 20:19:05,76.58070275060011,12.335833333333332,62.0,62,1.2881136393403496,True,0.0,-14.58070275060011,-19.039656502089038
340402302,2024-09-30 23:23:09,2024-09-30 23:59:51,15.154433793715553,0.6116666666666667,17.0,17,1.4250654234065918,True,0.0,1.8455662062844471,12.178391033321164
345727782,2024-07-01 15:48:03,2024-07-02 01:09:24,59.98934552885858,9.355833333333331,61.0,61,1.7818391302226186,True,0.0,1.0106544711414216,1.684723282495613
345727782,2024-07-15 16:08:25,2024-07-15 18:13:05,60.717431300639234,2.077777777777778,31.0,31,1.1471969329542513,True,0.0,-29.717431300639234,-48.94382167370504
345727782,2024-08-05 17:10:10,2024-08-05 18:33:47,49.83998702981908,1.3936111111111111,30.0,30,1.2294046962836924,True,0.0,-19.839987029819078,-39.807367963295995
345727782,2024-08-19 15:38:37,2024-08-19 16:57:44,60.493337814335945,1.3186111111111112,30.0,30,1.947505699523216,True,0.0,-30.493337814335945,-50.407762104192436
345727782,2024-09-02 15:12:14,2024-09-03 16:09:42,65.04483662703531,24.95777777777778,35.0,35,1.9372087940865899,True,0.0,-30.04483662703531,-46.19096331859713
