MMSI,segment_id,start_time,end_time,start_lat,start_lon,end_lat,end_lon,route_distance_km,direct_distance_km,duration_hours,average_speed_knots,maximum_speed_knots,num_records,moving_records,route_efficiency
238007480,53,2024-07-21 11:12:46,2024-07-23 06:34:32,37.15706,25.30544833333333,37.08932333333333,25.148331666666667,31.47692549945704,13.930598902921645,43.36277777777778,6.606875,9.7,16499,640,0.4425654247319021
241749307,87,2024-07-02 04:08:40,2024-07-02 06:59:28,37.70861,26.157651666666663,37.52836166666667,24.969048333333333,159.09656823853595,104.68793156952276,2.8466666666666667,20.483159268929505,20.9,766,766,0.6580150202395474
241749307,88,2024-07-02 19:41:24,2024-07-02 22:11:18,37.52515833333333,24.959143333333333,37.68811,26.045303333333333,96.59035481781928,95.68046502290076,2.498333333333333,21.22570422535212,21.8,852,852,0.9905799104203036
241749307,89,2024-07-04 00:17:04,2024-07-04 02:33:58,37.66202833333333,25.92351,37.52466166666667,24.971265,94.64831884785656,83.89891226751595,2.2816666666666667,20.59980506822612,21.0,513,513,0.8864279185178149
241749307,90,2024-07-04 19:34:57,2024-07-04 20:39:40,37.52672333333334,24.95598333333333,37.55341333333333,25.413401666666665,41.68727787667571,40.3303406186231,1.0786111111111112,20.48293963254593,21.0,381,381,0.9674496074781648
241749307,91,2024-07-06 00:13:42,2024-07-06 02:36:36,37.66251,25.97193333333333,37.525105,24.95876,138.4998746542743,89.26643281745852,2.381666666666667,20.74328358208956,21.3,938,938,0.644523563940306
241749307,92,2024-07-09 06:09:01,2024-07-09 07:15:44,37.55399166666667,25.441648333333333,37.52402666666666,24.974008333333337,83.81735835050671,41.2321701485803,1.1119444444444444,20.369178082191784,21.0,438,438,0.4919287717963619
241749307,93,2024-07-09 20:40:03,2024-07-09 21:38:40,37.532718333333335,24.953503333333337,37.54349,25.36063333333333,37.713981769959126,35.89737470754468,0.9769444444444444,20.3015923566879,20.8,314,314,0.9518320003044214
241749307,95,2024-07-10 22:35:53,2024-07-11 02:32:29,37.813165,26.640948333333338,37.52617,24.959176666666668,156.8254960827495,148.02118629446662,3.943333333333333,20.75839064649244,21.8,1454,1454,0.9438591937650416
241749307,96,2024-07-11 19:39:14,2024-07-11 22:10:55,37.525216666666665,24.955655,37.683915,26.030466666666666,95.02986850974484,94.68341908809847,2.5280555555555555,20.726602564102567,21.3,312,312,0.9963543102071024
241749307,97,2024-07-13 00:40:05,2024-07-13 02:33:17,37.624006666666666,25.769855,37.52535833333334,24.96768833333333,93.66076329016086,70.69379534482206,1.8866666666666667,20.86634844868735,21.3,419,419,0.7547855992355393
241749307,98,2024-07-14 19:00:16,2024-07-14 19:55:36,37.524901666666665,24.95550666666667,37.538131666666665,25.347681666666663,35.662419224894435,34.58182590696465,0.9222222222222224,20.50601851851852,21.0,216,216,0.9696993826718444
241749307,101,2024-07-16 03:32:07,2024-07-16 06:21:44,37.704483333333336,26.142435,37.525145,24.956153333333333,164.6621939237821,104.48860825368372,2.8269444444444445,20.766392092257004,21.5,607,607,0.6345634402396509
241749307,102,2024-07-16 19:15:36,2024-07-16 20:10:38,37.52694833333333,24.957485,37.537751666666665,25.349471666666663,34.68867663383894,34.56482952810875,0.9172222222222224,20.64926829268293,21.1,205,205,0.9964297540941828
