MMSI,records,start_time,end_time,start_lat,start_lon,end_lat,end_lon,duration_hours,start_end_distance_km
200134975,20000,2024-08-02 09:58:15,2024-09-04 16:49:13,37.38095,24.72063333333333,37.4377,24.94165,798.8494444444444,19.521352519108028
201622454,20000,2024-07-01 19:50:59,2024-07-19 01:36:53,37.362555,24.811388333333333,37.264695,25.313268333333333,413.765,44.38488395571689
205811699,20000,2024-07-01 23:31:38,2024-09-27 08:34:01,36.84289666666667,24.82201166666667,37.465765,25.31972,2097.0397222222223,44.124211041749064
226225103,20000,2024-07-02 06:29:53,2024-08-20 04:00:24,37.118001666666665,24.624776666666666,37.38138333333333,25.03031333333333,1173.5086111111111,35.89822043831326
234463823,20000,2024-09-15 07:19:48,2024-09-19 17:38:49,37.53613,25.15451833333333,37.44305166666667,24.942975,106.31694444444445,18.665151602205565
238007480,19014,2024-07-19 10:47:51,2024-08-03 07:55:01,36.85127,25.620846666666665,36.889136666666666,24.91274,357.11944444444447,62.98993620822777
241749307,20000,2024-07-01 03:55:59,2024-08-16 03:31:05,37.229085,26.65831333333333,37.103615,27.03482,1103.585,33.36292302041869
243681675,20000,2024-07-01 00:00:08,2024-07-12 05:09:15,37.087336666666666,25.147961666666667,37.53613,25.15369833333333,269.15194444444444,1.0079681498274073
246228378,20000,2024-07-01 19:56:02,2024-09-30 21:30:28,37.51227166666666,24.95405833333333,37.45843166666667,25.31028166666667,2185.573888888889,31.43121944152523
248692941,20000,2024-07-01 08:24:13,2024-07-28 11:42:01,37.61096,25.022856666666662,37.53648166666667,25.154641666666667,651.2966666666666,11.615066679494323
248964690,20000,2024-07-01 06:13:26,2024-07-10 13:58:34,37.56046333333333,25.087066666666665,37.23336166666667,25.212985,223.75222222222223,11.14146559674233
260995738,20000,2024-07-02 00:48:24,2024-08-20 15:53:47,36.765861666666666,25.46216,37.335323333333335,25.071635,1191.0897222222222,34.674098079615945
261098615,20000,2024-07-01 06:02:17,2024-07-11 06:11:49,37.48704,24.951505,37.43702,24.94492,240.1588888888889,0.5892543682047888
279179394,20000,2024-07-24 04:57:26,2024-08-01 19:38:45,37.502325,24.997646666666668,37.14218,25.228056666666667,206.6886111111111,20.386156675316997
301394865,20000,2024-07-01 19:53:13,2024-09-12 03:35:39,37.25395,26.621216666666665,37.45897166666666,25.26371333333333,1735.7072222222223,119.98384501445864
303144099,20000,2024-07-01 00:02:50,2024-07-13 18:48:24,37.46266666666666,25.326166666666666,37.534666666666666,25.149166666666662,306.75944444444445,15.615282182931532
304385446,20000,2024-07-01 01:53:38,2024-07-12 09:08:07,36.935923333333335,25.285976666666667,37.473661666666665,25.251301666666667,271.2413888888889,3.243399965497373
306211122,2902,2024-07-02 20:08:45,2024-07-11 16:06:35,36.454953333333336,25.365871666666667,37.34137,24.97009333333333,211.9638888888889,35.23415372546178
334424486,20000,2024-07-03 14:29:40,2024-08-19 00:08:14,37.43967,24.94500333333333,37.087021666666665,25.149816666666663,1113.6427777777778,18.137877742893163
340402302,19104,2024-07-01 21:03:43,2024-09-30 23:59:51,37.634395,25.88449,37.39913166666667,25.127135,2186.9355555555558,66.79763915823496
345727782,20000,2024-07-01 15:48:03,2024-09-15 19:11:03,37.52753166666667,24.958795,37.52188,25.271601666666665,1827.3833333333334,27.5856804995511
346795489,20000,2024-07-01 00:15:40,2024-07-18 13:14:56,37.08685166666667,25.149746666666665,37.16439,25.225811666666665,420.98777777777775,6.745392434588397
353196028,20000,2024-07-01 00:00:05,2024-07-04 11:35:00,37.450586666666666,25.325941666666665,37.45063,25.32597,83.58194444444445,0.0025025437378165196
366763109,20000,2024-07-02 01:30:39,2024-09-11 00:29:07,36.28454333333333,24.757853333333333,37.02902,24.90043,1702.9744444444445,12.799723465736154
369314059,20000,2024-07-05 07:55:42,2024-08-20 01:42:30,37.35506333333333,24.88148,37.45066,25.327026666666665,1097.78,39.356185358825755
370384996,20000,2024-07-01 00:00:11,2024-07-03 14:40:42,37.43658666666666,24.940156666666667,37.43738333333334,24.941243333333333,62.67527777777778,0.09595562724741098
371681494,20000,2024-07-02 20:40:24,2024-08-22 17:45:02,37.52138,24.961111666666667,37.49209333333334,25.23483833333333,1221.0772222222222,24.14518719870156
375886596,20000,2024-07-21 18:18:57,2024-08-12 17:37:45,37.47925333333333,24.962451666666663,37.43922666666667,24.941158333333338,527.3133333333334,1.8810605021625246
385831098,20000,2024-07-01 09:59:34,2024-08-26 21:29:17,37.553106666666665,25.281068333333337,37.30379666666666,25.083296666666666,1355.4952777777778,17.470133268125327
386691164,20000,2024-08-02 09:09:57,2024-08-16 10:03:01,37.49051666666666,24.948971666666665,37.46065333333333,25.31982,336.88444444444445,32.72580035604404
395657503,20000,2024-07-04 08:22:16,2024-08-27 03:32:56,36.93763833333333,26.20766833333333,37.29411666666667,25.113121666666668,1291.1777777777777,97.0532155746055
396636589,20000,2024-07-03 02:15:01,2024-09-11 17:07:43,37.1727,24.712783333333338,37.46286666666666,25.302633333333333,1694.8783333333333,52.1641271249989
