MMSI,route_start_time,route_end_time_ppo,initial_distance_km,historical_route_distance_km_ppo,historical_duration_hours_ppo,ppo_distance_km,ppo_steps,ppo_reward,final_distance_km,destination_reached,total_turning_degrees,distance_difference_km,distance_change_percent,absolute_distance_savings_km,route_end_time_baseline,historical_route_distance_km_baseline,historical_duration_hours_baseline,baseline_distance_km,baseline_steps,baseline_final_distance_km,baseline_destination_reached,baseline_turning_degrees,baseline_difference_km,baseline_change_percent,ppo_vs_baseline_difference_km,ppo_vs_historical_difference_km,baseline_vs_historical_difference_km
243681675,2024-07-06 07:23:38,2024-07-06 09:16:38,26.5869262105298,29.21168699808779,1.8833333333333333,28.0,28,219.9270733992289,1.769964360975597,True,190.0,-1.211686998087789,-4.147952831916576,1.211686998087789,2024-07-06 09:16:38,29.21168699808779,1.8833333333333333,29.0,29,1.4500795307593746,True,0.0,-0.2116869980877886,-0.7246654330564537,-1.0,-1.2116869980877887,-0.21168699808778868
340402302,2024-07-08 22:56:12,2024-07-09 01:28:35,28.80584537389853,58.780548371567306,2.539722222222222,85.0,85,221.64625235830528,1.0332359843588708,True,625.0,26.219451628432694,44.60566012874301,-26.219451628432694,2024-07-09 01:28:35,58.780548371567306,2.539722222222222,73.0,73,1.895379138544372,True,0.0,14.219451628432694,24.19074340468517,12.0,26.219451628432694,14.219451628432694
340402302,2024-07-14 07:36:30,2024-07-14 20:39:06,51.43810968564296,89.95021205382177,13.043333333333331,57.0,57,336.9889232735806,1.9092564164149344,True,380.0,-32.95021205382177,-36.63161131193998,32.95021205382177,2024-07-14 20:39:06,89.95021205382177,13.043333333333331,64.0,64,1.3011478937599477,True,0.0,-25.95021205382177,-28.84952849059927,-7.0,-32.95021205382177,-25.950212053821772
340402302,2024-07-15 22:54:11,2024-07-16 01:40:47,28.44987405505988,41.62109767544612,2.776666666666667,85.0,85,216.7261428769774,1.6831935508531308,True,635.0,43.37890232455388,104.22335004909,-43.37890232455388,2024-07-16 01:40:47,41.62109767544612,2.776666666666667,74.0,74,1.8038859567021897,True,0.0,32.37890232455388,77.79444592509013,11.0,43.37890232455388,32.37890232455388
340402302,2024-07-21 07:38:46,2024-07-21 20:05:53,50.18559041576975,83.92931359860471,12.451944444444443,57.0,57,334.20693244502496,1.2386419308876844,True,380.0,-26.929313598604708,-32.08570694071826,26.929313598604708,2024-07-21 20:05:53,83.92931359860471,12.451944444444443,62.0,62,1.873350297800132,True,0.0,-21.929313598604708,-26.12831281271109,-5.0,-26.929313598604708,-21.929313598604708
340402302,2024-07-28 07:29:21,2024-07-28 20:08:07,50.24114636291907,100.40978378359662,12.64611111111111,56.0,56,332.7009833958941,1.6176046339376642,True,375.0,-44.40978378359662,-44.228542389164666,44.40978378359662,2024-07-28 20:08:07,100.40978378359662,12.64611111111111,62.0,62,1.374418439218321,True,0.0,-38.40978378359662,-38.253029073718025,-6.0,-44.40978378359662,-38.40978378359662
340402302,2024-07-29 22:43:42,2024-07-30 01:36:48,28.98303310156161,41.96583866792909,2.885,85.0,85,218.01482588072588,1.988952648677268,True,625.0,43.03416133207091,102.5456959709428,-43.03416133207091,2024-07-30 01:36:48,41.96583866792909,2.885,74.0,74,1.979430578071431,True,0.0,32.03416133207091,76.33390002176195,11.0,43.03416133207091,32.03416133207091
340402302,2024-08-04 07:50:49,2024-08-04 20:50:11,50.548998504322746,79.19142534129384,12.989444444444445,56.0,56,333.67822131055107,1.764088418589542,True,375.0,-23.19142534129384,-29.285273299912213,23.19142534129384,2024-08-04 20:50:11,79.19142534129384,12.989444444444445,62.0,62,1.3547106198341046,True,0.0,-17.191425341293836,-21.70869543918852,-6.0,-23.191425341293836,-17.191425341293836
340402302,2024-08-05 23:09:27,2024-08-06 01:14:39,31.28766998872496,32.76829440749144,2.0866666666666664,72.0,72,232.6195444281711,1.798575293204261,True,530.0,39.23170559250856,119.72458836166788,-39.23170559250856,2024-08-06 01:14:39,32.76829440749144,2.0866666666666664,63.0,63,1.7155558427510158,True,0.0,30.23170559250856,92.2590148164594,9.0,39.23170559250856,30.23170559250856
340402302,2024-08-18 08:14:23,2024-08-18 20:36:37,51.24439323909894,84.7918820329802,12.370555555555557,57.0,57,335.96112710148446,1.9140703611402572,True,380.0,-27.7918820329802,-32.776583520307305,27.7918820329802,2024-08-18 20:36:37,84.7918820329802,12.370555555555557,64.0,64,1.7584022884792707,True,0.0,-20.7918820329802,-24.5210762333275,-7.0,-27.791882032980197,-20.791882032980197
